subtitle,sq_mt_built,n_rooms,n_bathrooms,floor,is_floor_under,rent_price,buy_price,buy_price_by_area,house_type_id,is_renewal_needed,is_new_development,has_lift,is_exterior,energy_certificate,has_parking,Precio_por_m2,Distrito
Chueca-Justicia,39.0,1,1.0,4,False,1197,299000,7667,Pisos,False,False,False,False,other,False,6029.36,Centro
Gaztambide,175.0,4,3.0,2,False,2324,795000,4543,Pisos,False,False,True,True,other,False,5000.0,Chamberí
Tetuán,115.0,0,1.0,0,True,1428,395000,3435,Pisos,False,False,False,False,E,True,3163.8,Tetuán
Barrio de Salamanca,332.0,6,5.0,5,False,-14150,1800000,5422,Pisos,True,False,True,True,other,True,6882.35,Salamanca
Sol,208.0,3,2.0,1,False,2475,895000,4303,Pisos,False,False,True,True,D,False,5390.99,Centro
Malasaña-Universidad,89.0,3,1.0,1,False,1323,350000,3933,Pisos,False,False,False,True,other,False,5196.25,Centro
Portazgo,47.0,2,1.0,2,False,587,111000,2362,Pisos,False,False,False,True,G,False,1896.75,Puente de Vallecas
Hortaleza,146.0,3,2.0,1,False,1943,620000,4247,Pisos,False,False,True,True,other,True,3773.82,Hortaleza
Chamartín,104.0,3,1.0,0,True,1250,320000,3077,Pisos,True,False,False,True,E,False,5170.22,Chamartín
Nuevos Ministerios-Ríos Rosas,185.0,4,4.0,1,False,2275,770000,4162,Pisos,False,False,True,True,D,False,5000.0,Chamberí
Malasaña-Universidad,133.0,2,2.0,1,False,2494,915906,6887,Pisos,False,True,True,True,other,False,5196.25,Centro
Vallehermoso,94.0,3,1.0,2,False,1382,375000,3989,Pisos,False,False,True,False,D,False,4548.3,Chamberí
Buena Vista,79.0,3,1.0,4,False,743,149900,1897,Pisos,False,False,False,False,other,False,1886.6,Carabanchel
Barrio de Salamanca,140.0,4,2.0,3,False,2176,722500,5161,Pisos,False,False,True,False,other,False,6882.35,Salamanca
Villaverde,95.0,4,1.0,4,False,698,138000,1453,Pisos,False,False,False,True,other,False,1827.79,Villaverde
Acacias,95.0,2,1.0,2,False,1220,308000,3242,Pisos,False,False,True,True,other,False,4208.0,Arganzuela
Chamberí,230.0,4,3.0,3,False,1536,1250000,5435,Pisos,False,False,True,True,other,True,5000.0,Chamberí
San Diego,69.0,3,1.0,2,False,666,130000,1884,Pisos,False,False,False,True,E,False,2007.79,Puente de Vallecas
Pueblo Nuevo,87.0,2,2.0,2,False,1172,289000,3322,Pisos,False,True,True,True,other,False,2578.87,Ciudad Lineal
Moscardó,49.0,2,1.0,0,True,604,115000,2347,Pisos,True,False,False,True,F,False,2284.48,Usera
Chamberí,412.0,5,5.0,7,False,-1188454,4100000,9951,Pisos,False,False,True,True,D,False,6564.27,Chamberí
Sanchinarro,138.0,3,2.0,2,False,2038,661000,4790,Pisos,False,True,True,True,other,False,4456.18,Hortaleza
Chamartín,50.0,2,1.0,1,False,964,215000,4300,Pisos,False,False,False,False,other,False,4255.84,Chamartín
Prosperidad,76.0,3,1.0,0,True,1135,275000,3618,Pisos,True,False,False,True,other,False,4255.84,Chamartín
Ventas,52.0,2,1.0,2,False,751,152000,2923,Pisos,False,False,True,True,other,False,2686.93,Ciudad Lineal
San Diego,32.0,0,1.0,0,True,493,89900,2809,Pisos,False,False,False,True,D,False,2007.79,Puente de Vallecas
Puerta Bonita,74.0,1,1.0,0,True,988,223000,3014,Pisos,False,False,True,False,other,False,1980.04,Carabanchel
Trafalgar,107.0,2,2.0,5,False,2295,780000,7290,Pisos,False,True,True,True,B,False,5640.18,Chamberí
Puente de Vallecas,50.0,3,1.0,2,False,539,99900,1998,Pisos,False,False,False,True,other,False,2081.94,Puente de Vallecas
Recoletos,182.0,6,2.0,0,True,1059,1300000,7143,Pisos,True,False,True,False,other,False,8392.43,Salamanca
Chueca-Justicia,144.0,4,1.0,4,False,2234,750000,5208,Pisos,True,False,True,True,E,False,6029.36,Centro
Carabanchel,82.0,3,1.0,1,False,780,160000,1951,Pisos,False,False,False,True,other,False,1886.6,Carabanchel
Villaverde,104.0,3,2.0,0,True,1213,305000,2933,Pisos,False,False,True,True,other,True,1617.18,Villaverde
Costillares,126.0,4,2.0,0,True,1781,550000,4365,Pisos,False,False,True,True,other,True,4235.69,Ciudad Lineal
Gaztambide,133.0,4,2.0,5,False,1839,575000,4323,Pisos,True,False,True,True,E,True,5000.0,Chamberí
Castellana,500.0,3,2.0,-1,False,-104074,2500000,5000,Pisos,True,False,True,True,G,True,6882.35,Salamanca
Villa de Vallecas,98.0,3,2.0,-1,False,985,222100,2266,Pisos,False,False,True,True,other,True,2677.28,Villa de Vallecas
El Cañaveral - Los Berrocales,121.0,3,2.0,-1,False,1078,254000,2099,Pisos,False,True,True,True,B,False,2271.52,Vicálvaro
Chamartín,55.0,0,1.0,0,True,894,193000,3509,Pisos,False,False,False,True,B,False,4255.84,Chamartín
Palos de Moguer,160.0,5,2.0,1,False,1885,595000,3719,Pisos,True,False,False,True,A,False,3975.0,Arganzuela
Cuatro Caminos,60.0,2,1.0,0,True,833,175000,2917,Pisos,False,False,False,True,C,False,4247.49,Tetuán
Santa Eugenia,85.0,3,1.0,7,False,705,140000,1647,Pisos,False,False,True,False,other,False,2175.93,Villa de Vallecas
Chamberí,189.0,5,2.0,2,False,2470,890000,4709,Pisos,False,False,True,True,E,False,4869.57,Chamberí
Cuatro Caminos,33.0,2,1.0,2,False,755,153000,4636,Pisos,True,False,False,True,other,False,4247.49,Tetuán
