te__subtitle,te__Distrito,oh__house_type_id_Dúplex,oh__house_type_id_Pisos,oh__house_type_id_Áticos,oh__is_floor_under_True,oh__is_renewal_needed_True,oh__is_new_development_True,oh__has_lift_True,oh__is_exterior_True,oh__has_parking_True,oe__energy_certificate,ss__sq_mt_built,ss__n_rooms,ss__n_bathrooms,ss__floor,buy_price_log,rent_price
13.391121347603061,13.06605032796872,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,7.0,0.5909184663291213,0.22892271116613302,0.27800484939317077,-0.5703319987228809,13.228525371792253,1795
12.339557338256117,12.666359316163275,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,7.0,-0.5203804197905961,0.22892271116613302,0.27800484939317077,1.6958800020305627,12.672949516558306,1248
13.237534313986462,13.26622604128182,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,-0.5916175278751934,-0.5922738856697223,-0.8069244674549988,-0.5703319987228809,13.102162710901053,1644
13.434850546984563,13.259592644485593,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,7.0,2.2578667955086975,2.692512501673699,3.5327927999376794,-1.4768167990242582,13.28448392755959,1869
12.98193476700921,13.245380729617988,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,7.0,-0.8195762737459047,-0.5922738856697223,-0.8069244674549988,2.149122402181251,12.650761671914688,1230
12.86509266424479,12.73201004117125,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,7.0,-0.5916175278751934,-0.5922738856697223,0.27800484939317077,-0.5703319987228809,12.73670383776449,1299
13.307170121187356,13.00130450789736,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,7.0,0.7903823689659937,1.0501193080019884,2.4478634830895096,0.33615280157849653,13.513054553109397,2211
12.223105603518073,12.557907516085855,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,7.0,-0.4776381549398378,-0.5922738856697223,-0.8069244674549988,-0.11708959857219214,12.386312871189734,1037
13.253113360713114,13.273232759695475,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,7.0,1.1893101742397385,1.0501193080019884,0.27800484939317077,0.7893952017291852,13.447342679685468,2108
12.208443402810069,12.102203033112222,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,7.0,0.4626916717768462,1.0501193080019884,0.27800484939317077,-0.5703319987228809,12.487488878546145,1108
13.37535670073009,13.24241262241113,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,7.0,-0.23543198745220706,-1.4134704825055775,-0.8069244674549988,-1.0235743988735695,13.26212705890841,1839
12.037155984803146,12.063713179498272,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,-0.021720663198415237,0.22892271116613302,0.27800484939317077,0.33615280157849653,11.842236406331555,702
13.215825916556009,13.075879418173216,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,7.0,0.7618875257321548,1.0501193080019884,0.27800484939317077,0.33615280157849653,13.296318365198623,1885
13.396805236747733,13.241947531529515,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,7.0,-0.27817425230296544,-0.5922738856697223,-0.8069244674549988,1.242637601879874,13.25339339419516,1827
13.31883628684742,13.065202708596471,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,-0.890813381830502,-0.5922738856697223,-0.8069244674549988,-0.11708959857219214,12.498745990829315,1116
12.059426732061691,12.094442416047265,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5.0,0.22048550428921548,1.0501193080019884,0.27800484939317077,0.33615280157849653,12.75130259456002,1311
12.386827333405709,12.22716080082306,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,7.0,0.36295972045841,0.22892271116613302,0.27800484939317077,-0.5703319987228809,12.201065128819632,913
12.771059784691607,12.564216166625972,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,7.0,0.9328565851351882,0.22892271116613302,0.27800484939317077,-0.5703319987228809,13.384729180332174,2012
12.059426732061691,12.094442416047265,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,-0.5203804197905961,-0.5922738856697223,-0.8069244674549988,0.7893952017291852,11.561725152903833,561
12.990129183124903,13.043286709423214,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,7.0,-0.42064846847216,-0.5922738856697223,0.27800484939317077,-0.5703319987228809,13.161586013632684,1712
13.393261460397754,13.254523028881819,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,7.0,0.1207535529707793,0.22892271116613302,0.27800484939317077,2.149122402181251,13.384729180332174,2012
13.155655817884279,13.087338567593283,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,4.508959410981971,3.5137090985095543,4.617722116785849,-1.4768167990242582,13.800397935382136,2515
13.39240746371447,13.247224899018025,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,7.0,2.8135162385685564,0.22892271116613302,1.3629341662413403,-0.5703319987228809,13.8924725250259,2399
13.57364671285607,13.255268248876238,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,7.0,-0.7340917440443879,-0.5922738856697223,-0.8069244674549988,2.60236480233194,12.524166311833152,1135
11.976869845226902,12.071655718503628,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-0.705596900810549,0.22892271116613302,-0.8069244674549988,-0.11708959857219214,11.918397239722838,744
12.88558157997448,12.68011673365097,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,7.0,0.26322776913997387,0.22892271116613302,0.27800484939317077,2.149122402181251,13.361381852676738,1978
13.204665336348528,13.072739085131662,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,7.0,-0.3066690955368043,0.22892271116613302,1.3629341662413403,1.6958800020305627,13.100119813444692,1642
13.407254901903078,13.011951167301358,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,7.0,0.33446487722457113,0.22892271116613302,1.3629341662413403,-1.0235743988735695,13.547632419997361,2265
13.246178147031243,13.22703431882308,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.19199066105537657,0.22892271116613302,0.27800484939317077,1.6958800020305627,13.437175577097312,2092
12.952987381203876,13.241947531529515,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,-0.7625865872782269,-1.4134704825055775,-0.8069244674549988,0.33615280157849653,12.47801017053037,1101
11.967105818535734,11.949008445509973,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,7.0,-0.5203804197905961,0.22892271116613302,-0.8069244674549988,-1.4768167990242582,11.848690308590857,705
13.306357406879902,13.036137493588217,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,7.0,0.33446487722457113,-0.5922738856697223,0.27800484939317077,0.7893952017291852,13.345508528717259,1955
12.09913805078052,12.071655718503628,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,7.0,-0.2211845658352876,-0.5922738856697223,0.27800484939317077,0.33615280157849653,12.628070334272698,1213
13.514356576405152,13.255617997562226,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,7.0,1.2605472823243358,1.0501193080019884,1.3629341662413403,-0.5703319987228809,13.457407451830088,2124
12.27743174283742,12.12198997847408,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,7.0,0.04951644488618204,1.0501193080019884,0.27800484939317077,1.242637601879874,12.873904582205107,1416
12.438394655823938,13.259592644485593,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,7.0,-0.2211845658352876,0.22892271116613302,-0.8069244674549988,-0.5703319987228809,12.703816069256568,1272
11.894109842302722,11.949008445509973,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,-0.7340917440443879,-0.5922738856697223,-0.8069244674549988,-0.11708959857219214,11.736077016252437,646
13.192069123471047,13.259812756698675,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,7.0,0.07801128812002095,1.0501193080019884,0.27800484939317077,2.149122402181251,13.301347705172173,1892
12.050361834082134,12.067873688021946,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,7.0,-0.1641948793676098,1.0501193080019884,0.27800484939317077,-1.0235743988735695,12.154784614286667,884
13.279363177559775,13.259812756698675,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,-0.23543198745220706,-0.5922738856697223,0.27800484939317077,-0.11708959857219214,13.509068274711403,2205
12.88929758613047,13.084569862825088,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,7.0,0.26322776913997387,-0.5922738856697223,0.27800484939317077,1.6958800020305627,13.112315061750808,1655
12.122846418070987,12.130224838473723,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,7.0,-0.9905453331489381,-1.4134704825055775,-0.8069244674549988,-1.0235743988735695,11.759793355371237,658
12.990129183124903,13.043286709423214,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,0.9613514283690271,1.0501193080019884,-0.8069244674549988,0.7893952017291852,13.554147092530322,2275
12.074399969931138,12.088884738400106,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,6.0,-0.13570003613377088,-0.5922738856697223,0.27800484939317077,1.6958800020305627,12.604852121186608,1195
12.034408647394521,12.088884738400106,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,7.0,0.9186091635182687,1.0501193080019884,0.27800484939317077,0.7893952017291852,12.66001358269538,1237
13.082056370869818,12.557907516085855,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,7.0,-0.9620504899150992,-2.234667079341433,-0.8069244674549988,1.242637601879874,12.388398368982115,1038
13.178234142666502,13.062788621307233,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,-1.0332875979996965,-1.4134704825055775,-0.8069244674549988,0.7893952017291852,12.608202196848836,1197
13.273178251384431,13.26622604128182,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,7.0,0.9043617419013493,1.0501193080019884,1.3629341662413403,-0.11708959857219214,13.586098651497313,2324
12.84696279068654,12.666359316163275,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,0.04951644488618204,-2.234667079341433,-0.8069244674549988,-1.0235743988735695,12.886643575525625,1428
13.160933800013177,13.065202708596471,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,1.3745266552596913,0.22892271116613302,0.27800484939317077,-0.5703319987228809,13.704580114574805,2475
12.990129183124903,13.043286709423214,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,-0.32091651715372377,0.22892271116613302,-0.8069244674549988,-0.5703319987228809,12.765691290604371,1323
11.856147623331909,11.8756008371073,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,-0.9193082250643408,-0.5922738856697223,-0.8069244674549988,-0.11708959857219214,11.6172944892629,587
13.279347868212897,12.997942483136793,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,7.0,0.4911865150106851,0.22892271116613302,0.27800484939317077,-0.5703319987228809,13.3374763699232,1943
13.396805236747733,13.241947531529515,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,4.0,-0.10720519289993197,0.22892271116613302,-0.8069244674549988,-1.0235743988735695,12.676079399771027,1250
13.08643652515976,13.245696818515938,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,1.0468359580705437,1.0501193080019884,2.4478634830895096,-0.5703319987228809,13.554147092530322,2275
12.990129183124903,13.043286709423214,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,7.0,0.3059700339907322,-0.5922738856697223,0.27800484939317077,-0.5703319987228809,13.727670110117632,2494
13.346914045181757,13.255356974351827,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,-0.2496794090691265,0.22892271116613302,-0.8069244674549988,-0.11708959857219214,12.834683971615659,1382
12.096016924329438,12.088884738400106,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,-0.4633907333229183,0.22892271116613302,-0.8069244674549988,0.7893952017291852,11.917730355182513,743
13.348107391509595,13.22703431882308,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,0.4057019853091684,1.0501193080019884,0.27800484939317077,0.33615280157849653,13.490474083050811,2176
11.806659642165746,11.980197496203303,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,-0.23543198745220706,1.0501193080019884,-0.8069244674549988,0.7893952017291852,11.835016210489899,698
